X,Y,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,Latitude,Longitude
920436.336858776,131469.141358413,44,0.235688967594,0.00194465649192,Charleston/Tottenville,44,Staten Island,40.511217,-74.249312
984734.419691198,199062.70271699,45,0.0459068626235,9.13594688556E-05,Chinatown,45,Manhattan,41.307288,-77.801378
1043322.207302,248116.4989006,46,0.134475429879,0.000926391677672,City Island,46,Bronx,40.847323,-73.786522
1012767.08037751,247425.531044371,47,0.0898275563294,0.000163198117339,Claremont/Bathgate,47,Bronx,48.874863,-97.42543
987059.930613329,216980.297541098,48,0.0437467441431,9.42538425377E-05,Clinton East,48,Manhattan,38.739765,-76.912096
993974.878568941,190123.280315795,49,0.0752900183427,0.000203185525471,Clinton Hill,49,Brooklyn,43.52424,-71.70091
985939.88628435,218603.522675444,50,0.0557479867536,0.000173249283326,Clinton West,50,Manhattan,31.759903,-97.102936
1031147.48048895,257767.33736292,51,0.0953613442277,0.000395756553505,Co-Op City,51,Bronx,38.993867,-105.508319
985103.511141693,189424.994277993,52,0.0289076710093,4.52027509603E-05,Cobble Hill,52,Brooklyn,43.52424,-71.70091
1027433.1084741,224214.59231571,53,0.161500913385,0.000947530980821,College Point,53,Queens,40.784369,-73.843641
983392.261134907,189565.846166368,54,0.0762192448554,0.000132452130536,Columbia Street,54,Brooklyn,39.657355,-76.371332
986896.215599595,149456.673188634,55,0.149956807524,0.000736274713586,Coney Island,55,Brooklyn,40.577883,-73.994028
1023307.40006854,209492.41573476,56,0.0568478126677,0.000180907844436,Corona,56,Queens,33.752886,-116.055617
1024871.75302799,213399.689725124,57,0.0192705048557,1.80259807917E-05,Corona,56,Queens,33.752886,-116.055617
1033859.42425888,245900.360992816,58,0.0598554094851,0.000204980931361,Country Club,58,Bronx,37.760696,-76.843575
1013836.64785576,244914.720606393,59,0.0377948070893,6.28765230648E-05,Crotona Park,59,Bronx,39.11251,-100.35875
1014751.08668693,242159.324369021,60,0.0786482878226,0.000161833284912,Crotona Park East,60,Bronx,37.703847,-97.279267
1000537.75433083,184780.98453866,61,0.117310808097,0.000510772092295,Crown Heights North,61,Brooklyn,33.61571,-81.10204
998323.408620283,182319.186992822,62,0.0822593359838,0.000158238169004,Crown Heights South,62,Brooklyn,37.329217,-86.364699
1018175.69705534,188794.933934839,63,0.119100721883,0.000353190910142,Cypress Hills,63,Brooklyn,41.555704,-91.530842
1058661.95064917,216509.294310903,64,0.18445188474,0.00105790284614,Douglaston,64,Queens,40.764015,-73.743373
988251.145129308,192619.772936084,65,0.0446070683658,8.1803882541E-05,Downtown Brooklyn/MetroTech,65,Brooklyn,40.645099,-73.945032
988025.704895633,194936.823441723,66,0.0546334593634,0.000108378855948,DUMBO/Vinegar Hill,66,Brooklyn,34.171281,-78.8203
980159.027660591,164596.343895632,67,0.0997470781551,0.000394282272487,Dyker Heights,67,Brooklyn,40.621493,-74.009584
984266.58140715,211937.944079099,68,0.0493373795569,0.000111073378655,East Chelsea,68,Manhattan,42.39176,-71.03283
1007671.34598465,241901.354326886,69,0.0789896450483,0.00019905160381,East Concourse/Concourse Village,69,Bronx,33.236156,-93.234494
